iban,account_value,account_live,currency
LU08 9537 GDUN ONXP EIFR,86.9,false,Yen
IS10 2975 1313 5007 3933 5346 22,337.09,false,Rupiah
FR56 2551 3368 823Q YDML FYU5 Q66,76.67,false,Yuan Renminbi
TR54 7492 5MXN YOPD L5G5 K3MC EU,291.8,false,Zloty
GB96 PFEI 2606 7045 4323 05,647.34,true,Shekel
FR58 2228 8709 36NP D3ZW ZLIY C81,335.35,false,Rupiah
FR68 8928 9850 024Z K2GZ VKJH 438,396.15,true,Sol
IS74 9966 0413 9876 8159 2635 60,681.47,true,Euro
SA49 56RG 86NM WID5 JTNN DEJS,810.05,false,Ariary
RO09 WDZT ISHS LG1G V6SY KGGG,691.36,true,Yuan Renminbi
GT48 SC04 PUMR L5FX OGHO DIFP CNKK,842.61,false,Dollar
FR09 2208 5627 15HT 4GJN O010 G49,457.52,false,Dollar
RO10 HLMZ PKO3 UKXJ TYJK KKIC,975.58,false,Peso
TN79 2209 5005 3340 6669 0544,818.38,true,Quetzal
KW59 VQTF TRUP NHEH 9WIM 2JIU 1ZT1 ZM,78.04,true,Yuan Renminbi
BE94 5168 7025 3999,475.3,true,Real
TR06 6070 98EU VJ4I O1HW DC76 S6,399.07,false,Rupiah
NL45 ZFLQ 1548 9057 20,565.51,true,Balboa
LB84 3526 2TPH EYC0 TKPD HRZJ XHAX,7.42,false,Euro
CZ44 9649 2044 5048 5245 0630,328.63,true,Rupiah
FR71 3635 4105 86KA PK5K IQGQ M80,396.51,false,Yuan Renminbi
CZ48 4821 1282 8726 6132 3381,209.87,true,Euro
MK27 716K AN5L UVNF B02,23.23,true,Dollar
MK73 171A DFTX FDS5 H44,135.25,false,Hryvnia
AD77 0205 2481 RE3Q HJNB ILCN,129.81,true,Peso
BE53 6083 1832 3452,453.71,false,Yuan Renminbi
CR75 8109 8258 2585 0399 8,880.91,false,Ruble
FR39 7870 4135 95OU A1VS P4QG V28,474.76,false,Rupiah
FR49 5925 4879 63VR F91Z 4GR1 R16,315.53,true,Boliviano
KW06 JMTF GZXJ MLTQ DEE7 ZMD1 3XZF XA,335.64,false,Ruble
TN50 4728 3792 0668 0758 3964,745.25,true,Real
FR92 9935 0237 41LD K6HA NEFV D58,425.33,false,Yuan Renminbi
AZ64 EZPM ZTGV 71ZC MNNJ KC4O TH7W,425.43,false,Yuan Renminbi
VG17 BKQU 4778 8077 3798 8967,332.82,false,Koruna
AE95 2628 1578 6876 2490 588,715.76,true,Ruble
AT14 7564 6528 3514 1505,374.08,false,Peso
NO42 8579 9365 343,784.26,true,Real
GT27 ZRAI F3TU GPF5 QU6F BT62 RIOQ,158.94,false,Yen
GR81 9815 204K CQ6P AR9V 8QJM 7F5,496.94,false,Yuan Renminbi
SI97 5862 9197 6439 960,526.85,false,Real
IS25 1296 6340 6012 0986 2451 40,420.71,false,Kuna
FR24 9640 6448 84TG YJMD 4CMH 481,570.23,true,Sol
ES83 5261 9209 2847 8009 3270,549.19,false,Real
KZ80 543C CKXP CDTO BCTL,412.01,true,Euro
PL10 0314 3159 7120 4776 7396 5615,737.65,true,Euro
EE94 0999 2878 5938 5761,12.53,false,Yuan Renminbi
GL36 7618 5921 5652 88,312.41,true,Yuan Renminbi
AT43 4479 6418 1549 7325,400.04,true,Real
GI75 YMOL W8QP 6MLC E9JV E4H,535.73,false,Yen
MR05 8569 4782 6559 9307 8924 298,476.15,true,Yuan Renminbi
VG87 GTMN 4027 1222 5748 8536,183.36,true,Ringgit
GT04 20MM PTHS UWQC U5TC WDYO XCWE,401.56,true,Yuan Renminbi
FI46 1860 7837 0455 47,207.62,true,Sol
MT43 BXSA 7186 5VBB XRRY 6IV7 IPOY 8PL,596.92,false,Yuan Renminbi
FO58 5775 1134 2527 91,763.1,true,Dong
FI74 2041 6177 8284 76,684.46,true,Zloty
LT61 5607 0251 0357 2398,897.19,true,Yen
MK24 156A HFDS BNMX L78,546.86,false,Euro
PL98 6605 5973 2762 5377 9384 3834,826.31,false,Leu
PK49 MXTD 5WVH NVOD 4GQC TCXX,262.57,false,Manat
FR10 1871 6812 40X1 KAPB 5I9N N42,915.19,true,Guilder
FR79 7828 1311 40BR EZCU FJZF C59,770.24,true,Bolivar
GB36 UIQN 7393 9034 7238 29,654.38,true,Krona
KW44 RTEI 9GQH 1QFD JVM0 UOOQ GQOI DG,259.59,false,Euro
IE53 TYPE 6412 5633 2685 78,366.04,true,Yuan Renminbi
FR47 5431 0091 57FS IESZ DCGC I63,352.36,false,Ruble
BA90 2531 5203 9831 4654,330.88,true,Ruble
BH91 IHXB 8FKW JO4N XCBV TU,811.83,false,Euro
GI25 APHZ TFWQ XWZ1 5FGR 8UP,955.59,false,Rupiah
NL32 OFGL 4302 4534 06,578.57,false,Ruble
RO43 NRUB FVFR QLKI IGQP FITG,172.59,true,Peso
MD10 YSU2 XXSO 25OQ CICF ITEF,670.59,true,Rupiah
ME60 0047 6372 8458 2945 60,665.45,false,Dollar
FR53 2858 5066 68HD EPNT KSD7 B11,719.92,false,Zloty
AE55 1405 5968 6726 9353 050,986.72,false,Yuan Renminbi
GB20 GWNY 9895 5673 2756 12,888.33,true,Hryvnia
FR41 5539 2713 09ZA 0ERP HB9X L62,638.4,true,Real
MT09 ELCP 4733 2TFR RFUR MMBW Z6HN L2Z,764.38,true,Euro
ME42 4781 8973 5820 8747 27,286.85,true,Euro
TR75 5545 8H9Q 0ZXJ DFXU TYOR GR,572.75,false,Euro
RS59 7404 5392 8687 5723 24,128.13,true,Naira
LV03 HBDR ZX0N 4RBV NW1M L,414.29,false,Yuan Renminbi
ES88 6214 2234 1887 5920 4412,274.05,false,Baht
EE33 5541 8782 1692 0416,840.3,true,Rupiah
CH51 9426 3WO8 FUBJ WSMW H,398.93,false,Rial
IT70 W226 7051 640Q 75JA PQZZ KTX,12.2,false,Euro
MD68 IPJ9 OIHZ KAGA FII8 LIN1,509.01,true,Yuan Renminbi
SI05 4046 4110 0618 541,294.64,true,Zloty
CZ83 7471 1965 9877 3836 5080,580.83,false,Kina
FR33 8099 5398 91IH F1ZC AIIO 954,320.0,false,Yuan Renminbi
PL96 3189 7461 7280 1074 7281 1367,51.34,true,Peso
FR89 0136 5766 35LD ZS8Y V32Q D46,800.13,false,Zloty
CZ62 2825 2885 0724 8374 8810,183.51,true,Yuan Renminbi
CH58 5247 0CF9 ZILF PNP3 S,175.93,true,Dollar
SA71 95A0 ZK4S 0EON UHWF HAME,669.53,true,Peso
CY60 9731 6694 FTOV IN1K MXPE GR2B,733.2,false,Cordoba
TN26 8965 6128 1107 4688 2501,964.99,true,Franc
HR47 6436 0658 6510 1405 9,298.08,true,Rupiah
RO27 MOWN 5JLW 6JH5 IYGL PT2N,987.27,true,Kyat
SK90 1895 4596 4891 9255 7598,430.65,true,Yuan Renminbi
FR47 4674 6582 37MY ADU3 AUBY M03,856.85,false,Yuan Renminbi
AD57 7051 3979 BUMD JEN7 1CU9,881.72,false,Franc
MU49 XUGG 9156 3288 5200 4733 979B WU,412.09,false,Colon
BE75 3027 7094 3996,372.85,true,Lev
FR08 8234 6771 76SV 1OBV NAGU A19,364.57,false,Euro
DO43 K7BY 4058 3681 1594 0466 0403,31.94,false,Peso
FR61 2848 0503 88TC POAZ 9FTH N17,895.82,true,Som
MU06 NLEO 8105 0108 1509 0566 207Z XA,13.47,true,Yuan Renminbi
RS16 2039 0238 2483 2926 56,763.14,false,Real
LT29 3935 1188 9314 8828,352.91,true,Shekel
SM36 R268 4289 495K NCNN RB9B LVG,696.84,false,Krona
FR43 4490 4747 14K4 2YRB KONE Q89,623.16,false,Kip
FR07 1476 3566 11E0 QNVL 1NPJ M23,330.8,true,Pound
GR13 9923 045C QSYA SHWB QBIM ZHW,736.2,true,Rupiah
DE19 7923 8623 4368 3715 40,778.26,true,Euro
CY87 7566 9319 JTQ2 O0Z4 OOPQ BYUI,299.3,true,Yuan Renminbi
FR64 5397 9269 31J3 J07K N2HU L71,310.45,true,Euro
GL18 1407 2547 3695 43,187.1,false,Euro
MC87 5609 4892 284C RW1O O4G0 I06,641.81,true,Peso
SK79 9364 6177 9491 2211 8221,890.22,false,Peso
KW64 SIRW 1KKT YYOH NJ2A 1FIL CKKO BM,415.74,false,Lek
FR58 8856 6747 41J5 7QTN EMK0 F36,737.39,false,Peso
MK51 092D JAF8 UIDZ F15,683.12,true,Peso
TN48 6674 0220 0590 8432 1140,650.64,true,Euro
MC91 4895 7302 93N3 ZQIW ZIO7 H03,638.04,true,Yuan Renminbi
CH95 0472 3GJE CPTK 4D66 2,827.91,true,Yuan Renminbi
GL98 0732 2172 7966 84,2.28,false,Ruble
LI72 9680 0PN6 BVIY TESY W,816.07,false,Yuan Renminbi
PK17 OGHZ ZZXC VDEE 3NQG Q1OT,374.1,false,Hryvnia
SM69 W613 4485 103W OREP 8DED REO,663.07,true,Yuan Renminbi
IL96 3475 0630 8961 7064 611,939.64,false,Pound
LI62 8681 2TTU X9WI 0ZFW O,495.19,false,Real
HR37 9070 2212 9528 8202 0,816.14,false,Hryvnia
GT92 PKRQ 0D2W 8NLW ERVE RG6O NOMU,917.18,true,Yuan Renminbi
MC53 6152 2279 08MZ QLXQ SHE4 571,323.86,true,Som
GT04 VAMU HPQT GIS6 NHR1 CPBM DOGV,308.82,false,Yuan Renminbi
AD85 2486 4570 QRH4 5N1P FM0F,98.87,false,Yuan Renminbi
GT72 RFEM VN4V S7OS KTJR ZZLC XHET,288.31,true,Colon
BG21 GSLI 4516 35AR 5QGA LJ,511.74,true,Dollar
GR51 4119 353T UIQ3 Y9LX IUIT EBL,212.63,false,Dollar
FR98 5981 0678 969Q R3MM 3CDD U37,645.5,false,Baht
MD94 A8SW ZWIW YRNU JNSI IZEO,861.92,true,Kuna
FR90 4200 7439 33HG X6A5 PLD2 452,839.86,false,Peso
FR41 1125 5848 74VF 0JPY GYKV S15,252.65,true,Euro
FR79 3637 0826 76JF WENP 5R53 Y38,255.31,true,Rupiah
FR05 7577 7193 35KK BEXG W4GD 399,958.5,true,Yuan Renminbi
MC65 7853 2701 35WU OIZ4 ZJ43 O38,317.17,true,Zloty
NO70 4448 0247 776,357.16,true,Peso
FR33 7986 2408 22K7 KZJP K8JZ A64,256.14,true,Rupiah
LU58 2913 CJUG HQDZ GC9V,904.12,false,Quetzal
LU93 658A XOGW RH6C DW0R,868.74,false,Peso
FR06 2723 9891 06NT WUAV EN7P S75,857.46,false,Manat
FI44 6673 9832 5202 41,909.27,true,Kyat
TR25 4651 1NS6 QTUD GT0Y XATQ VI,179.94,true,Pound
LU21 301Q JQFJ TWYY LB4O,759.97,true,Koruna
DE97 9841 6604 4041 8973 26,934.07,false,Peso
FI11 8036 5447 2828 98,494.4,false,Forint
ME05 1257 1519 0365 9052 02,201.2,false,Ringgit
GE94 QN24 4058 1426 7505 58,408.81,false,Yuan Renminbi
FR45 5620 2779 80KB ZK9F NHSK W43,773.44,true,Rupiah
FR52 6154 1572 60LS HA7U IBKU J15,38.51,false,Boliviano
HR92 5637 0810 1673 8747 5,110.89,true,Peso
FR51 5304 9455 12SS 8PB2 NVTA L31,945.26,true,Quetzal
FI33 6177 0630 0817 99,876.19,false,Real
KZ74 563P QKRA YHUF OHTL,610.56,false,Dinar
IS90 4100 2781 9180 3963 9252 87,725.65,true,Peso
AT46 1993 5745 8400 8413,662.82,false,Kuna
SI54 4962 9251 3880 427,767.25,false,Zloty
CR91 6940 8791 2453 3100 8,798.09,false,Yuan Renminbi
DO94 OJX4 3822 1721 8403 1574 1140,215.89,true,Yuan Renminbi
GB91 XQJE 5490 1563 6854 61,907.8,true,Ruble
FR25 2734 5055 25P5 3SRZ L6GU B37,432.51,true,Som
FR45 5944 7847 00VP Z9NK LLVG O18,381.58,false,Rand
LV19 MGER TPV6 XDP3 FVYI S,155.4,true,Rupiah
BA53 4478 7878 7014 9879,183.08,true,Shilling
SK40 0674 7715 8854 1112 1216,5.05,true,Euro
IE60 CSAH 7275 1128 1714 78,89.59,true,Peso
FR90 1931 3389 516H DRID W9DY E37,974.93,false,Yuan Renminbi
FR77 2828 9622 02F4 WQUP 9FRT T52,503.76,false,Yuan Renminbi
FR57 5546 8985 10TN XP8M QM9R 745,111.81,false,Dong
ES15 4582 7916 3319 8037 7768,102.05,false,Lev
AL77 1663 8702 SPOO ZPW1 BNSV X1SS,867.28,false,Ruble
FI63 6965 3780 1249 22,734.75,false,Kuna
GR10 9149 346A HORQ FBOJ 2HDV A9O,594.5,false,Euro
VG04 CQGZ 7815 6674 2132 7930,858.06,false,Rupiah
GI17 CRPV NJPL GFQT VLA7 XG0,85.73,true,Zloty
DO56 3J6S 3676 1573 4181 9024 5420,122.37,false,Yuan Renminbi
PL62 8715 9597 5774 7958 4076 2478,999.29,true,Krona
KW93 QLJZ FDLJ SAMI BQ4F 7S8Z DTX1 HT,508.82,false,Sol
ES77 1550 3408 5414 2290 8445,527.48,false,Yuan Renminbi
LI29 7066 5MHY EUGI 8SBE Z,932.69,true,Yuan Renminbi
ME26 1948 1280 9643 4511 20,238.33,true,Rupiah
MK50 471V XIOD Z5LS T50,968.74,false,Real
BE07 5061 8291 2838,889.78,true,Dalasi
AE80 5121 9770 0010 8873 723,95.36,true,Kwacha
MU16 EXPK 7620 6179 8866 4455 687N TT,287.83,true,Peso
LT18 1227 3387 4118 8997,559.86,true,Dollar
AL12 4835 8595 5C5Z SZP1 CAZB JABU,436.99,true,Koruna
MC78 5498 8902 69DC QP4N NVRF R74,228.96,true,Yuan Renminbi
LB74 5543 BYTB GE8C BQQC ADRR SHFQ,603.21,false,Yuan Renminbi
FR75 5224 3401 69XX GT9N 4XOY X96,729.55,false,Krona
MU60 CDKW 4781 9612 3334 7816 500T TQ,696.68,false,Ruble
PS52 NMWK 7RKB VIIH KPHC XW94 AB1S I,711.42,true,Euro
FR43 4217 3866 705M CBHR WCVK F68,71.38,false,Peso
IS61 0747 8232 3346 8179 3945 04,633.75,false,Rupiah
MK82 920Z 9BPD ISF6 P92,921.84,false,Euro
GR61 4869 987D TEGI NVWQ SP6F GSO,494.25,false,Ruble
PL97 1208 8627 1897 5036 5919 7772,214.76,true,Leone
FR82 6754 6606 52LI A4CZ HBGO 989,113.96,true,Zloty
SE39 6248 3562 7130 1442 2525,740.23,false,Rupiah
DK11 6363 0560 6944 35,602.77,false,Manat
RS90 9658 1170 3781 1783 13,655.87,false,Yuan Renminbi
SA94 6553 1ZBU 3ZWT K97T MZ8N,335.32,false,Dollar
SM88 V656 2262 6956 XJKK 4EOC H9A,276.63,false,Quetzal
MC71 1183 9268 05BO PYTD UUMQ F79,334.34,true,Peso
PK17 BAEE ICHD V86T T0ZS TAGO,258.65,true,Yuan Renminbi
IE77 BKHZ 9865 9845 1927 11,535.24,true,Kip
FR68 0987 7438 44CW EKLM YGBF 720,211.59,true,Cedi
FO62 6278 6198 7949 82,433.28,false,Won
AE90 8352 1237 3211 3187 008,779.21,false,Dram
FR38 3482 8957 50QT YLZH NWS4 E86,188.74,true,Lek
EE66 6699 5404 3582 8895,967.6,true,Rupiah
DK02 8783 6444 6144 47,447.43,true,Won
NL22 CHLX 4895 9475 95,748.15,true,Yuan Renminbi
LV95 TVEE NR4F OWET PXUV F,991.87,false,Rupiah
FR06 2112 3026 69JJ ZA9C AQR1 V05,823.24,true,Yuan Renminbi
FR40 0636 2130 77GC WOCG 5UBA F51,857.69,false,Ruble
NO18 9725 8019 813,21.36,false,Dollar
FR26 0500 5204 60VP X8NW I9IF O46,774.22,false,Yuan Renminbi
IL19 8799 5388 4725 9879 945,762.78,false,Ruble
KW31 PIOA GJG0 KRKF D6X8 MVDG NTVI WI,156.72,false,Ruble
FR81 6417 4104 23WN GWJL UOCS T61,16.91,true,Yuan Renminbi
CH36 6737 8MQU ME8D J1T0 S,395.05,true,Euro
GR06 5825 444L SZ18 IXRC VSUT KO4,953.31,true,Rupiah
FR91 5282 5048 86XB DV0S T5RU N78,711.2,false,Euro
LB65 1538 BYB2 DGZZ PXZI 6P2V ZLM7,212.35,true,Franc
FR08 0340 8546 839U KL9I BEOS O47,680.57,false,Ruble
LB80 0984 FLRS KDLG XV5C VSUM KHHK,554.09,false,Euro
FO12 7626 5322 8564 96,413.8,false,Yuan Renminbi
ME25 9870 7933 3863 9536 52,990.95,true,Yuan Renminbi
BH06 QUUQ U7GT QUQK LLGZ 0F,103.7,false,Ruble
FR59 4818 9986 16JJ VZ6H YIKH X26,500.83,true,Yuan Renminbi
FR27 2670 2144 53MY 4X5T LMEN I90,813.96,true,Yuan Renminbi
IL12 9784 0106 8126 8342 583,386.8,true,Euro
PK49 SQDQ 1WBM C8UH LZIP IMJQ,914.68,false,Rial
FR93 7997 5136 821Y MUA4 GHTW P61,955.86,false,Ruble
NO53 7854 5678 373,266.67,true,Marka
LB37 4450 XP4I 7ELR IVAW APMF JB5P,561.69,true,Ruble
MD13 ETAD F3TE 2723 VC3J 9OPI,816.12,true,Peso
SK66 6735 2769 0558 1443 9218,598.57,false,Rupiah
DO26 LSYJ 4367 2500 8265 9507 0110,523.94,true,Krona
FO64 5719 7264 7531 06,404.05,true,Pound
DO40 YBP5 4293 5713 0836 7011 9323,33.35,false,Ruble
DO32 RY2E 0923 8619 1234 9872 7040,994.06,false,Rupiah
PL84 7354 4348 4326 9665 7526 6170,138.54,true,Franc
PS07 VQHS CMX3 SJPG 6UKY P8S5 0KBC D,38.95,false,Yuan Renminbi
MK80 378K JSP7 KEUV A95,713.82,false,Rupiah
AZ94 VFSV MOA3 3SCJ WLNN 0UYN SYXZ,544.64,true,Zloty
FR45 9740 6862 7219 3E6O FZMM W50,303.07,true,Peso
LI74 0170 8VBL LNCF KFRP T,211.45,false,Dollar
RO77 MRBA SIKS X4RN QHMG IN5D,921.42,false,Yuan Renminbi
LI15 8550 69PX XE9D CXMD U,598.74,true,Hryvnia
CY61 1649 1592 SGES Q3JM 3CRQ CDZT,784.42,true,Guarani
MU68 YHDS 5701 7601 6734 2705 487O GO,165.42,false,Hryvnia
IS84 2984 9342 1960 8450 9483 20,1.36,true,Rial
HR39 1281 3564 0179 0505 5,62.8,false,Yuan Renminbi
GE42 UW83 4032 8172 7785 30,132.77,true,Tugrik
GL84 7444 9466 2564 63,333.8,true,Dollar
MK70 9618 FPDE XQMG 600,884.08,true,Ruble
CR50 3949 2152 0743 9054 7,619.26,false,Euro
FR77 1811 2623 2374 C1CZ 0SJ6 886,105.7,false,Koruna
FR77 6273 8039 57Y0 G2W5 KPMX 733,24.76,false,Yuan Renminbi
DK91 4904 9031 6285 98,116.37,false,Euro
FR81 9464 3047 71WX YI1T WP85 F57,920.13,true,Dollar
AZ97 KQNI CNIW VCCF 0E5S VV2D RFNQ,264.89,true,Euro
FR66 6559 1760 03ZC U06X KIXZ Q53,722.82,true,Dollar
AZ43 WBTB GIPN 0PEZ N433 K86P CLJF,562.55,false,Real
SE26 9856 2246 4381 6138 6547,879.02,false,Rupiah
FR62 2068 6360 15AA BYAE LXZC S74,503.79,false,Yuan Renminbi
GB56 JILB 2300 5545 2503 95,864.38,true,Dollar
IL03 2399 6213 5686 7123 842,818.33,true,Yuan Renminbi
GT68 RGLM OPXP XIFJ 0BGN POQV CT9F,295.85,true,Zloty
MT14 DTMO 1227 1VOV VCJK ESNT RTFJ KBA,336.29,true,Sol
MD21 O2EP T3UD CS7Y 4W2C DCPX,217.78,true,Yuan Renminbi
SE73 6322 3477 3077 8832 8151,466.76,true,Rupiah
KW20 FDQU IO2D IX3W WEJC B2HS AFJN D2,789.54,false,Dollar
GL06 0571 3850 5611 03,551.1,false,Euro
ME92 3749 5188 5571 9129 37,284.66,false,Lempira
BG37 CLCT 5315 767O U4BX MW,807.85,true,Franc
HR22 4396 9024 1568 5441 6,897.67,true,Rupiah
NO23 7476 0767 528,61.8,false,Manat
PT20 9725 5863 3215 4358 6758 2,19.94,true,Rupiah
MD95 0YPW TMBP VG5F BH3B AUVF,229.15,true,Euro
CY30 6234 3756 EFFK ZR35 1NA7 M3K7,472.71,false,Peso
FR57 6243 1656 16CB CZXA RMBV K72,59.29,false,Ruble
CZ79 4821 9778 2400 2428 9499,536.49,false,Yuan Renminbi
HR18 2022 8505 0136 0372 7,725.97,false,Yen
LV76 TAIB PVCF 1NGT OORT N,844.83,false,Lev
BG51 SLND 2782 06FA Y07X KR,692.18,true,Dinar
SI26 8196 1344 0340 089,87.93,true,Rupiah
BG49 MKVZ 5610 82FT SK1Q HR,273.21,false,Peso
FO44 7444 1371 1346 96,626.68,false,Euro
HU18 9816 1287 2141 7083 4471 1719,673.86,false,Yuan Renminbi
LT50 6823 9677 0120 8803,308.65,true,Kwacha
BH54 FAXX Y4VU N3LE QVXU TS,701.85,false,Lek
LV33 JNOG ADQL WQHS GSBL J,211.16,false,Peso
KW61 KPIP RXAO NSD3 WIWP MPSY BXG2 GD,429.82,false,Yuan Renminbi
PK39 WWUN 1YKZ CTJU ADB1 QNZY,416.7,true,Real
FR46 6371 2988 03M0 ALCX 3WSX 693,534.18,false,Yuan Renminbi
SA15 11BQ NV0K TDSJ V1TJ CHOV,867.59,false,Yuan Renminbi
VG27 LHWD 4756 0923 3553 6078,24.22,false,Dollar
SK79 1055 5449 5623 5759 6373,454.18,true,Euro
